MAURI,Mauris Institute,Ora Z. Hughes,Lorem ipsum dolor,"P.O. Box 677, 3225 Orci. Rd.",Cork,M,3971,Tajikistan,(153) 929-5198,"(187) 471-4005
"
MEREP,Mre Paillarde,Jean Fresnire,Marketing Assistant,43 rue St. Laurent,Montral,Qubec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055
METUS,Metus Eu Erat Industries,Amery Bailey,Lorem,5545 Facilisis Street,Osasco,São Paulo,15083-343,Thailand,(500) 585-7534,"(689) 415-9493
"
MIDUI,Mi Duis Risus Company,Maya X. Green,Lorem ipsum,5873 Vitae Ave,Cornwall,Ontario,79526,Romania,(684) 900-2996,"(362) 359-0427
"
MORBI,Morbi Sit Amet Company,Seth W. Wilder,Lorem ipsum,6900 Cras Rd.,Lochristi,OV,64180,South Sudan,(522) 115-0730,"(542) 804-4032
"
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,,04179,Germany,0342-023176,
NASCE,Nascetur Ltd,Ora W. Cohen,Lorem ipsum dolor,185-4814 Morbi Av.,Częstochowa,SL,40366,Senegal,(494) 521-9739,"(898) 692-2444
"
NECEN,Nec Enim Corporation,Craig N. Dale,Lorem ipsum dolor,"P.O. Box 760, 242 Nibh. Ave",Istanbul,Ist,20713,Georgia,(573) 142-7684,"(552) 398-4386
"
NECMA,Nec Malesuada Ut PC,Darrel V. Hickman,Lorem ipsum dolor,2795 Nunc Av.,Pamplona,NA,8690IQ,Brazil,(605) 798-9563,"(690) 469-9391
"
NIBHD,Nibh Donec Associates,Alma G. Leonard,Lorem ipsum dolor,Ap #540-7426 Tincidunt St.,Istanbul,Ist,8515,Spain,(491) 217-4277,"(583) 208-4219
"
NISLA,Nisl Arcu Iaculis Ltd,Madonna Fletcher,Lorem ipsum,423-3760 Semper Ave,Mildura,VIC,O60 2GO,Sierra Leone,(216) 922-8146,"(839) 153-0399
"
NORTS,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530
NULLA,Nullam Suscipit LLC,Adrian Z. Dillard,Lorem,"P.O. Box 980, 6647 Cras Street",Vienna,Wie,5285,Niger,(182) 260-7824,"(911) 841-4501
"
OCEAN,Ocano Atlntico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina,(1) 135-5333,(1) 135-5535
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880
ORCIC,Orci Corp.,Noelle F. Marsh,Lorem ipsum,"P.O. Box 527, 1965 Luctus Ave",Frederick,Maryland,44646,Timor-Leste,(974) 763-9052,"(665) 660-7419
"
ORNAR,Ornare Tortor At Industries,Nathaniel Bishop,Lorem ipsum,Ap #243-5728 Non Rd.,Ulloa (Barrial),H,43460-961,India,(X25) X21-8387,"(X25) X86-8916
"
OTTIK,Ottilies Kseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Kln,,50739,Germany,0221-0644327,0221-0765721
PARIS,Paris spcialits,Marie Bertrand,Owner,"265, boulevard Charonne",Paris,,75012,France,(1) 42.34.22.66,(1) 42.34.22.77
PARTU,Parturient Montes Limited,Devin Battle,Lorem ipsum,225-1747 Donec St.,Stranraer,WI,32718,Kyrgyzstan,(860) 667-3261,"(649) 419-7055
"
PEDEA,Pede Ac Urna Corp.,Lucian Hunter,Lorem ipsum dolor,"P.O. Box 857, 771 Et St.",Tarragona,CA,95713,Chile,(196) 743-3793,"(889) 751-6832
"
PEDEP,Pede PC,Pamela Cain,Lorem,"P.O. Box 328, 1660 Ac Road",Senneville,QC,57178,Saudi Arabia,(771) 390-4701,"(614) 877-4354
"
PERIC,Pericles Comidas clsicas,Guillermo Fernndez,Sales Representative,Calle Dr. Jorge Cash 321,Mxico D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,,5020,Austria,6562-9722,6562-9723
POSUE,Posuere Enim Incorporated,Kaye Skinner,Lorem,"P.O. Box 959, 5137 Ut St.",Linköping,E,97639,Antarctica,(255) 771-9584,"(156) 236-4696
"
PRAES,Praesent Limited,Jena I. Knapp,Lorem ipsum,"3920 A, Road",Goulburn,New South Wales,172544,Mexico,(169) 404-2459,"(709) 741-5107
"
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da sade n. 58,Lisboa,,1756,Portugal,(1) 356-5634,
PROIN,Proin Sed Corp.,Reagan Hays,Lorem,6989 Sem Road,Warri,Delta,1998,Somalia,(499) 857-9849,"(811) 320-3206
"
QUAML,Quam LLC,Gavin Collins,Lorem ipsum dolor,Ap #801-2104 Egestas Ave,St. Thomas,ON,29395,Gabon,(136) 797-4206,"(312) 335-0068
"
QUEDE,Que Delcia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,(21) 555-4545
QUEEN,Queen Cozinha,Lcia Carvalho,Marketing Assistant,"Alameda dos Canrios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstrae 10,Cunewalde,,01307,Germany,0372-035188,
QUISQ,Quisque Porttitor Incorporated,Sandra Q. Conner,Lorem ipsum dolor,Ap #565-7948 Nec Avenue,Maringá,Paraná,3920,Mongolia,(477) 682-7368,"(956) 575-0140
"
RANCH,Rancho grande,Sergio Gutirrez,Sales Representative,Av. del Libertador 900,Buenos Aires,,1010,Argentina,(1) 123-5555,(1) 123-5556
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,,42100,Italy,0522-556721,0522-556722
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genve,,1203,Switzerland,0897-034214,
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,"Gran Va, 1",Madrid,,28001,Spain,(91) 745 6200,(91) 745 6210
SANTG,Sant Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,,4110,Norway,07-98 92 35,07-98 92 47
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,
SCELE,Scelerisque Inc.,Leroy Lamb,Lorem,1216 Massa Rd.,Cras-Avernas,Luik,46811,Switzerland,(868) 287-8508,"(829) 238-7904
"
SENEC,Senectus LLC,Fulton Solomon,Lorem,"P.O. Box 437, 7652 Egestas. St.",Overland Park,KS,2248,Cameroon,(501) 935-8398,"(280) 930-6440
"
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,,OX15 4NB,UK,(171) 555-1717,(171) 555-5646
SIMOB,Simons bistro,Jytte Petersen,Owner,Vinbltet 34,Kobenhavn,,1734,Denmark,31 12 34 56,31 13 35 57
SITAM,Sit Amet Consectetuer LLC,Whilemina Powell,Lorem ipsum,189-1618 Nibh Rd.,Bursa,Bursa,51202,Sudan,(817) 790-6289,"(137) 357-6520
"
SPECD,Spcialits du monde,Dominique Perrier,Marketing Manager,"25, rue Lauriston",Paris,,75016,France,(1) 47.55.60.10,(1) 47.55.60.20
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525
SUPRD,Suprmes dlices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612,
THECR,The Cracker Box,Liu Wong,Marketing Assistant,55 Grizzly Peak Rd.,Butte,MT,59801,USA,(406) 555-5834,(406) 555-8083
TINCI,Tincidunt Nibh Limited,Aurelia Curry,Lorem,"P.O. Box 207, 1894 Vulputate Rd.",Naarden,Noord Holland,62-750,Brunei,(811) 787-5775,"(325) 343-7738
"
TOMSP,Toms Spezialitten,Karin Josephs,Marketing Manager,Luisenstr. 48,Mnster,,44087,Germany,0251-031259,0251-035695
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Avda. Azteca 123,Mxico D.F.,,05033,Mexico,(5) 555-2933,
TRADH,Tradio Hipermercados,Anabela Domingues,Sales Representative,"Av. Ins de Castro, 414",Sao Paulo,SP,05634-030,Brazil,(11) 555-2167,(11) 555-2168
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,722 DaVinci Blvd.,Kirkland,WA,98034,USA,(206) 555-8257,(206) 555-2174
UTMIF,Ut Mi Foundation,Sloane Henderson,Lorem,447-3482 Magnis St.,San Rafael,Alajuela,67674,Tanzania,(X24) X33-3782,"(X24) X00-9955
"
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,rhus,,8200,Denmark,86 21 32 43,86 22 33 44
Val2 ,IT,Val2,IT,,,,,,,
VALON,IT,Valon Hoti,IT,,,,,,,
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10,26.47.15.11
VITAE,Vitae Odio Incorporated,Fitzgerald Q. Mejia,Lorem ipsum,Ap #291-7356 Tempus Av.,Santander,Cantabria,4511,Bangladesh,(516) 493-9133,"(165) 207-5265
"
VIVAM,Vivamus Inc.,Quentin U. Edwards,Lorem,Ap #797-245 Mattis Ave,Créteil,IL,Q0K 8GH,Moldova,(760) 886-9590,"(755) 433-7997
"
WANDK,Die Wandernde Kuh,Rita Mller,Sales Representative,Adenauerallee 900,Stuttgart,,70563,Germany,0711-020361,0711-035428
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,,90110,Finland,981-443655,981-443655
WELLI,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,(14) 555-8122,
WHITC,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Keskuskatu 45,Helsinki,,21240,Finland,90-224 8858,90-224 8858
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,ul. Filtrowa 68,Warszawa,,01-012,Poland,(26) 642-7012,(26) 642-7012
ACORP,A Corporation,Dora Turner,Lorem ipsum,"P.O. Box 695, 5860 Risus. Avenue",Crystal Springs,Alberta,T1Z 6J7,Malawi,(956) 342-9096,"(650) 835-1125
"
ACTEL,Ac Tellus Suspendisse LLC,Scott F. Harrison,Lorem ipsum,750-5042 Eget Avenue,Vienna,Wie,6294,Lesotho,(604) 970-6319,"(951) 435-4603
"
ADIPI,Adipiscing Associates,Vanna Mccall,Lorem,992-9729 Nascetur Rd.,Iowa City,Iowa,60562,Timor-Leste,(708) 194-0361,"(376) 135-1056
"
AENEA,Aenean Eget Metus PC,Josiah Hall,Lorem ipsum dolor,160-8308 Orci Av.,Owerri,Imo,90449,Sweden,(554) 285-4888,"(438) 398-6964
"
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,,12209,Germany,030-0074321,030-0076545
ALIQU,Aliquet LLP,Hadassah Palmer,Lorem,2602 Donec Avenue,FlŽnu,HE,1523TU,Uzbekistan,(574) 310-9370,"(372) 488-1586
"
ALTD,A Ltd,Raja Clements,Lorem,204-8546 Sed Av.,Berlin,BE,7764BX,Seychelles,(102) 115-3915,"(399) 787-7692
"
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitucin 2222,Mxico D.F.,,05021,Mexico,(5) 555-4729,(5) 555-3745
ANTEB,Ante Bibendum Industries,Dexter Campos,Lorem ipsum dolor,Ap #572-2080 Nam Road,Landelies,Henegouwen,7466,Tajikistan,(824) 809-0565,"(698) 830-8890
"
ANTED,Ante Dictum Mi LLP,Catherine O. Walls,Lorem,107-8276 Tempor Street,Göksun,Kah,714550,Kiribati,(575) 434-2765,"(426) 933-9036
"
ANTON,Antonio Moreno Taquera,Antonio Moreno,Owner,Mataderos  2312,Mxico D.F.,,05023,Mexico,(5) 555-3932,
ARCUI,Arcu Iaculis LLC,Yardley T. Elliott,Lorem ipsum,"P.O. Box 501, 6187 Pretium Avenue",Bleid,Luxemburg,X1K 5T9,Malawi,(183) 198-4047,"(630) 521-8598
"
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,,WA1 1DP,UK,(171) 555-7788,(171) 555-6750
BERGS,Berglunds snabbkp,Christina Berglund,Order Administrator,Berguvsvgen  8,Lule,,S-958 22,Sweden,0921-12 34 65,0921-12 34 67
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,,68306,Germany,0621-08460,0621-08924
BLONP,Blondesddsl pre et fils,Frdrique Citeaux,Marketing Manager,"24, place Klber",Strasbourg,,67000,France,88.60.15.31,88.60.15.32
BOLID,Blido Comidas preparadas,Martn Sommer,Owner,"C/ Araquil, 67",Madrid,,28023,Spain,(91) 555 22 82,(91) 555 91 99
BONAP,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,,13008,France,91.24.45.40,91.24.45.41
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,
